match_id,prompt
29,"Akali, Alex, Apex, BeryL, Canyon, DAMWON Gaming, Gnar, Gragas, Kaisa, Kayle, LeBlanc, Lee Sin, Nautilus, Nuclear, Nuguri, Orianna, Ornn, Pantheon, Qiyana, Renekton, Rumble, ShowMaker, Sion, Syndra, Taliyah, Wako, Xayah, Yasuo, Ysera, Zilean, Ziv, ahq e-Sports Club"
30,"Akali, Baolan, BeryL, Blitzcrank, Camille, Canyon, DAMWON Gaming, Draven, Gragas, Invictus Gaming, JackeyLove, Jayce, Kaisa, Kayle, LeBlanc, Lee Sin, Leona, Nautilus, Ning, Nuclear, Nuguri, Orianna, Pantheon, Qiyana, RekSai, Renekton, RooKie, Ryze, ShowMaker, Syndra, TheShy, Vladimir"
31,"Akali, Alex, Chogath, CoreJJ, Doublelift, Elise, Ezreal, Gangplank, Gragas, Impact, Jarvan IV, Jensen, Kaisa, Kayle, LeBlanc, Lissandra, Nautilus, Pantheon, Qiyana, Rainbow, Rakan, Renekton, Rumble, Team Liquid, Vladimir, Wako, Xayah, Xmithie, Ysera, Yuumi, Ziv, ahq e-Sports Club"
32,"Akali, Anivia, BeryL, Canyon, CoreJJ, Corki, DAMWON Gaming, Doublelift, Gragas, Impact, Irelia, Jarvan IV, Jensen, Kaisa, Kayle, LeBlanc, Lee Sin, Nautilus, Nuclear, Nuguri, Pantheon, Qiyana, Rakan, RekSai, Renekton, Ryze, ShowMaker, Sion, Team Liquid, Vladimir, Xmithie, Yasuo"
33,"Akali, Alex, Baolan, Gangplank, Gragas, Invictus Gaming, Irelia, JackeyLove, Jayce, Kaisa, Kayle, LeBlanc, Morgana, Nautilus, Ning, Olaf, Orianna, Pantheon, Qiyana, Rainbow, Rakan, Renekton, RooKie, Syndra, TheShy, Viktor, Vladimir, Wako, Xayah, Ysera, Ziv, ahq e-Sports Club"
34,"Blitzcrank, Broxah, Bwipo, Cassiopeia, Ezreal, Fnatic, Gangplank, Gnar, Gragas, Hylissang, Jarvan IV, Karsa, Kayle, Langx, Lee Sin, Leona, Lulu, Ming, Nautilus, Nemesis, Pantheon, Pyke, Qiyana, Rakan, Rekkles, Royal Never Give Up, Ryze, Twisted Fate, Uzi, Veigar, Xayah, xiaohu"
35,"Akali, Camille, Clid, Clutch Gaming, Cody Sun, Damonte, Effort, Elise, Ezreal, Faker, Gangplank, Heimerdinger, Huni, Jarvan IV, Jayce, Khan, Lira, Morgana, Nautilus, Pantheon, Qiyana, Quinn, Rakan, Renekton, Rumble, Ryze, SK Telecom T1, Skarner, Teddy, Vulcan, Xayah, Yasuo"
36,"Aatrox, Akali, Camille, Clutch Gaming, Cody Sun, Damonte, Elise, Ezreal, Galio, Gangplank, Huni, Jarvan IV, Kaisa, Karsa, Kayle, Langx, Lee Sin, Lira, Ming, Morgana, Pantheon, Pyke, Qiyana, Rakan, RekSai, Renekton, Royal Never Give Up, Rumble, Tahm Kench, Uzi, Vulcan, xiaohu"
37,"Akali, Alistar, Broxah, Bwipo, Cassiopeia, Clid, Effort, Faker, Fnatic, Gangplank, Gragas, Hylissang, Kaisa, Kayle, Khan, Lee Sin, Leona, Nautilus, Nemesis, Pantheon, Qiyana, Rakan, Rekkles, Renekton, Ryze, SK Telecom T1, Teddy, Twisted Fate, Veigar, Vladimir, Xayah, Yuumi"
38,"Aatrox, Broxah, Bwipo, Cassiopeia, Clutch Gaming, Cody Sun, Damonte, Elise, Ezreal, Fnatic, Gangplank, Heimerdinger, Huni, Hylissang, Lee Sin, Leona, Lira, Nautilus, Nemesis, Pantheon, Pyke, Qiyana, Rakan, Rekkles, Rumble, Ryze, Syndra, Twisted Fate, Urgot, Vulcan, Xayah, Yuumi"
39,"Akali, Clid, Effort, Elise, Ezreal, Faker, Galio, Gangplank, Jarvan IV, Kaisa, Karma, Karsa, Kayle, Khan, Langx, Lee Sin, Leona, Ming, Mordekaiser, Morgana, Nautilus, Pantheon, Renekton, Royal Never Give Up, Ryze, SK Telecom T1, Tahm Kench, Teddy, Twisted Fate, Uzi, Xayah, xiaohu"
40,"Akali, Caps, Cassiopeia, Chovy, Elise, G2 Esports, Galio, Gangplank, Griffin, Jankos, Jayce, Lee Sin, Lehends, Mikyx, Ornn, Pantheon, Perkz, Qiyana, Rakan, Renekton, Ryze, Shen, Sw0rd, Syndra, Tarzan, Twisted Fate, Viper, Wunder, Xayah, Yasuo, Yuumi, Zoe"
41,"Akali, Caps, Chovy, Elise, G2 Esports, Galio, Gragas, Griffin, Jankos, Jayce, Kaisa, Kayle, Lee Sin, Lehends, Leona, Mikyx, Nautilus, Pantheon, Perkz, Qiyana, Rakan, Renekton, Ryze, Shen, Sw0rd, Syndra, Tarzan, Viper, Volibear, Wunder, Yasuo, Yuumi"
42,"3z, Akali, Blaber, Chogath, Cloud9, Crash, Deftly, Ekko, Gangplank, Hong Kong Attitude, Irelia, Jax, Jinx, Kaisa, Kaiwing, Kennen, Lee Sin, Licorice, Mission, Nautilus, Nisqy, Pantheon, Qiyana, Rakan, Renekton, Ryze, Thresh, Tristana, Unified, Yasuo, Yuumi, Zeyzal"
43,"Blitzcrank, Caitlyn, Caps, Cassiopeia, Cloud9, G2 Esports, Heimerdinger, Irelia, Jankos, Kaisa, Kayle, Lee Sin, Licorice, Mikyx, Nisqy, Pantheon, Perkz, Qiyana, Rakan, RekSai, Renekton, Ryze, Sivir, Sneaky, Svenskeren, Syndra, Thresh, Veigar, Wunder, Yasuo, Yuumi, Zeyzal"
44,"3z, Akali, Camille, Chovy, Crash, Elise, Ezreal, Gangplank, Garen, Griffin, Hong Kong Attitude, Irelia, Jayce, Kaiwing, Kayle, LeBlanc, Lee Sin, Lehends, Mission, Pantheon, Qiyana, Rakan, Renekton, Sw0rd, Syndra, Tarzan, Tristana, Unified, Viper, Xayah, Yasuo, Yuumi"
45,"3z, Aatrox, Caps, Crash, Elise, Ezreal, G2 Esports, Garen, Gragas, Hong Kong Attitude, Jankos, Kaiwing, Kayle, Lee Sin, Mikyx, Mission, Olaf, Pantheon, Perkz, Qiyana, Rakan, RekSai, Renekton, Ryze, Syndra, Tristana, Twisted Fate, Unified, Wunder, Xayah, Yasuo, Yuumi"
46,"Akali, Camille, Chovy, Cloud9, Elise, Fiora, Galio, Gangplank, Griffin, Irelia, Jayce, Kaisa, Kayle, Lehends, Licorice, Nisqy, Nocturne, Pantheon, Rakan, Renekton, Shen, Sneaky, Svenskeren, Sw0rd, Syndra, Tarzan, Tristana, Veigar, Viper, Xayah, Yuumi, Zeyzal"
47,"Akali, Crisp, Doinb, Elise, Funplus Phoenix, Gangplank, GimGoon, Gragas, Humanoid, Kaisa, Kayle, Kobbe, Lucian, Lwx, Nautilus, Olaf, Pantheon, Qiyana, Rakan, RekSai, Renekton, Ryze, Splyce, Syndra, Thresh, Tian, Tore, Varus, Vayne, Vizicsacsi, Xayah, Xerxe"
48,"Akali, Azir, Crisp, Doinb, Elise, Ezreal, FoFo, Funplus Phoenix, Gangplank, GimGoon, Gnar, Gragas, Hana, J Team, Kaisa, Kayle, Koala, LilV, Lucian, Lwx, Nautilus, Ornn, Pantheon, Pyke, Qiyana, Renekton, Rest, Ryze, Tahm Kench, Tian, Varus, Xayah"
